iteration,raw_examples,examples,avg_moves,replay,target_policy_entropy_selfplay,black_win_rate,white_win_rate,draw_rate,selfplay_elapsed_seconds,loss,policy_loss,value_loss,policy_kl,target_entropy,pred_entropy,policy_top1,value_mae,value_acc,selfplay_entropy,eval_score,steps,skipped,value_clamps,iter_seconds,total_seconds,total_eta_seconds,saved,train_epoch_final_seconds,grad_norm,lr,eval_candidate_score,eval_wins,eval_losses,eval_draws,eval_threshold,promoted,iter_minutes,total_hours,total_eta_hours,selfplay_minutes,train_epoch_final_minutes,lr_x1e4,replay_k,examples_k,raw_examples_k,promoted_float
1,3592,28736,37.4,28736,1.587,0.562,0.437,0.0,87.0,4.5253,4.4537,0.0715,3.0433,1.4104,4.5976,0.148,0.1033,0.9715,1.587,1.0,96,0,0,220.0,220.0,21791.0,alphazero_gomoku/outputs/checkpoints/a100-4-prod-v3/gomoku10_iter_0001.pt,43.0,1.5212,4e-05,,,,,,,3.6666666666666665,0.06111111111111111,6.053055555555556,1.45,0.7166666666666667,0.4,28.736,28.736,3.592,
2,2635,21080,27.4,49816,1.0599,0.51,0.49,0.0,78.0,3.5894,3.516,0.0734,2.2888,1.2272,4.2504,0.4003,0.0875,0.9688,1.0599,1.0,96,0,0,219.0,439.0,21522.0,alphazero_gomoku/outputs/checkpoints/a100-4-prod-v3/gomoku10_iter_0002.pt,46.0,7.5819,8e-05,,,,,,,3.65,0.12194444444444444,5.9783333333333335,1.3,0.7666666666666667,0.8,49.816,21.08,2.635,
3,2738,21904,28.5,71720,1.0967,0.542,0.458,0.0,108.0,1.9173,1.8296,0.0877,0.6739,1.1557,2.408,0.692,0.0979,0.9634,1.0967,1.0,96,0,0,254.0,693.0,22425.0,alphazero_gomoku/outputs/checkpoints/a100-4-prod-v3/gomoku10_iter_0003.pt,48.0,6.0415,0.00012,,,,,,,4.233333333333333,0.1925,6.229166666666667,1.8,0.8,1.2,71.72,21.904,2.738,
4,2861,22888,29.8,94608,1.0032,0.531,0.469,0.0,390.0,1.8907,1.7848,0.1059,0.6874,1.0974,2.1129,0.6726,0.113,0.9564,1.0032,1.0,96,0,0,535.0,1228.0,29493.0,alphazero_gomoku/outputs/checkpoints/a100-4-prod-v3/gomoku10_iter_0004.pt,48.0,7.9089,0.00016,,,,,,,8.916666666666666,0.3411111111111111,8.1925,6.5,0.8,1.6,94.608,22.888,2.861,
5,2754,22032,28.7,116640,0.8814,0.521,0.479,0.0,361.0,1.9735,1.8506,0.1228,0.8076,1.043,2.0933,0.6362,0.1276,0.9499,0.8814,0.0,96,0,0,537.0,1766.0,33557.0,alphazero_gomoku/outputs/checkpoints/a100-4-prod-v3/gomoku10_iter_0005.pt,49.0,8.9497,0.0002,0.0,0.0,16.0,0.0,0.55,False,8.95,0.4905555555555556,9.321388888888889,6.016666666666667,0.8166666666666667,2.0,116.64,22.032,2.754,0.0
6,2442,19536,25.4,136176,0.996,0.583,0.417,0.0,409.0,1.9421,1.8153,0.1269,0.7905,1.0248,1.991,0.643,0.131,0.9485,0.996,1.0,96,0,0,559.0,2325.0,36428.0,alphazero_gomoku/outputs/checkpoints/a100-4-prod-v3/gomoku10_iter_0006.pt,49.0,8.1742,0.000199951,,,,,,,9.316666666666666,0.6458333333333334,10.11888888888889,6.816666666666666,0.8166666666666667,1.99951,136.176,19.536,2.442,
7,2106,16848,21.9,153024,1.2532,0.604,0.396,0.0,412.0,1.9256,1.7939,0.1317,0.7554,1.0384,1.9235,0.6523,0.1344,0.9473,1.2532,1.0,96,0,0,561.0,2886.0,38353.0,alphazero_gomoku/outputs/checkpoints/a100-4-prod-v3/gomoku10_iter_0007.pt,49.0,7.5882,0.000199803,,,,,,,9.35,0.8016666666666666,10.653611111111111,6.866666666666666,0.8166666666666667,1.99803,153.024,16.848,2.106,
8,1847,14776,19.2,167800,1.3307,0.594,0.406,0.0,360.0,1.9092,1.772,0.1372,0.718,1.0539,1.8739,0.6619,0.1386,0.9451,1.3307,1.0,96,0,0,511.0,3398.0,39082.0,alphazero_gomoku/outputs/checkpoints/a100-4-prod-v3/gomoku10_iter_0008.pt,50.0,6.9818,0.000199557,,,,,,,8.516666666666667,0.9438888888888889,10.856111111111112,6.0,0.8333333333333334,1.99557,167.8,14.776,1.847,
9,2258,18064,23.5,185864,1.2132,0.625,0.375,0.0,449.0,1.9201,1.7775,0.1426,0.7216,1.0558,1.8726,0.6624,0.1433,0.9436,1.2132,1.0,96,0,0,597.0,3996.0,40406.0,alphazero_gomoku/outputs/checkpoints/a100-4-prod-v3/gomoku10_iter_0009.pt,49.0,6.8992,0.000199214,,,,,,,9.95,1.11,11.223888888888888,7.483333333333333,0.8166666666666667,1.99214,185.864,18.064,2.258,
10,1844,14752,19.2,200616,1.348,0.667,0.333,0.0,444.0,1.9093,1.7609,0.1483,0.6961,1.0648,1.8419,0.6678,0.1474,0.9418,1.348,1.0,96,0,0,646.0,4642.0,41784.0,alphazero_gomoku/outputs/checkpoints/a100-4-prod-v3/gomoku10_iter_0010.pt,49.0,6.5141,0.000198773,1.0,16.0,0.0,0.0,0.55,True,10.766666666666667,1.2894444444444444,11.606666666666667,7.4,0.8166666666666667,1.98773,200.616,14.752,1.844,1.0
