iteration,examples,avg_moves,loss,policy_loss,value_loss,skipped,iter_time_s,selfplay_elapsed_s,train_elapsed_s,replay,total_elapsed_s,total_eta_s,saved
13,5903,46.1,4.6307,4.608,0.0227,0,24.0,18.0,5.0,5903,24.0,1150.0,alphazero_gomoku/outputs/checkpoints/a100-turbo/gomoku10_iter_0013.pt
14,6081,47.5,5.6544,4.6383,1.0161,0,18.0,16.0,2.0,11984,43.0,989.0,alphazero_gomoku/outputs/checkpoints/a100-turbo/gomoku10_iter_0014.pt
15,5750,44.9,5.6584,4.6563,1.0022,0,20.0,17.0,2.0,17734,63.0,952.0,alphazero_gomoku/outputs/checkpoints/a100-turbo/gomoku10_iter_0015.pt
16,5816,45.4,5.9136,4.6508,1.2629,0,21.0,18.0,2.0,23550,84.0,931.0,alphazero_gomoku/outputs/checkpoints/a100-turbo/gomoku10_iter_0016.pt
17,5655,44.2,6.1025,4.6232,1.4794,0,22.0,18.0,3.0,29205,107.0,921.0,alphazero_gomoku/outputs/checkpoints/a100-turbo/gomoku10_iter_0017.pt
18,5720,44.7,5.9002,4.6614,1.2388,0,22.0,17.0,4.0,34925,129.0,904.0,alphazero_gomoku/outputs/checkpoints/a100-turbo/gomoku10_iter_0018.pt
19,6084,47.5,5.4246,4.6702,0.7544,0,21.0,16.0,5.0,41009,150.0,883.0,alphazero_gomoku/outputs/checkpoints/a100-turbo/gomoku10_iter_0019.pt
20,5861,45.8,5.6616,4.66,1.0015,0,23.0,17.0,5.0,46870,174.0,870.0,alphazero_gomoku/outputs/checkpoints/a100-turbo/gomoku10_iter_0020.pt
21,5861,45.8,5.6938,4.6785,1.0152,0,23.0,17.0,6.0,52731,197.0,857.0,alphazero_gomoku/outputs/checkpoints/a100-turbo/gomoku10_iter_0021.pt
22,6066,47.4,5.4714,4.6602,0.8112,0,23.0,16.0,7.0,58797,221.0,842.0,alphazero_gomoku/outputs/checkpoints/a100-turbo/gomoku10_iter_0022.pt
23,5844,45.7,5.4817,4.6627,0.8191,0,23.0,16.0,7.0,64641,245.0,825.0,alphazero_gomoku/outputs/checkpoints/a100-turbo/gomoku10_iter_0023.pt
24,5951,46.5,5.69,4.6822,1.0078,0,26.0,17.0,8.0,70592,271.0,814.0,alphazero_gomoku/outputs/checkpoints/a100-turbo/gomoku10_iter_0024.pt
25,5810,45.4,5.6593,4.6594,0.9999,0,26.0,17.0,9.0,76402,298.0,803.0,alphazero_gomoku/outputs/checkpoints/a100-turbo/gomoku10_iter_0025.pt
26,5902,46.1,5.4776,4.6165,0.8611,0,27.0,16.0,10.0,82304,325.0,790.0,alphazero_gomoku/outputs/checkpoints/a100-turbo/gomoku10_iter_0026.pt
27,6055,47.3,5.61,4.6054,1.0046,0,28.0,17.0,10.0,88359,353.0,777.0,alphazero_gomoku/outputs/checkpoints/a100-turbo/gomoku10_iter_0027.pt
