step,phase,epoch,examples,loss,policy_loss,soft_policy_loss,value_loss,policy_kl,policy_top1,value_mae,lr,seconds,best,checkpoint
1,raw,1,13352,8.76810839363313,4.249745277247078,4.418473447419127,0.399559077725859,1.9467832065757125,0.04254044333239599,0.5653822804868686,0.0003,2.9060000000026776,True,outputs\checkpoints\distill-oldbest-128x8\gomoku10_student_epoch_0001.pt
2,raw,2,13352,8.565957724798075,4.080457753375164,4.4052552208349045,0.32097967509169145,1.7774957752713476,0.05781905346819567,0.4804845643014948,0.0003,5.875,True,outputs\checkpoints\distill-oldbest-128x8\gomoku10_student_epoch_0002.pt
3,raw,3,13352,8.457387696203892,3.9876638410189966,4.39680118429368,0.29169061778190253,1.68470181770279,0.0760934692012328,0.4556761666855603,0.0003,8.859000000004016,True,outputs\checkpoints\distill-oldbest-128x8\gomoku10_student_epoch_0003.pt
4,raw,4,13352,8.391334301701129,3.929271772423499,4.392317375928217,0.27898089011819727,1.6263097972481317,0.09474236086912681,0.4356610196982407,0.0003,11.828000000001339,True,outputs\checkpoints\distill-oldbest-128x8\gomoku10_student_epoch_0004.pt
5,raw,5,13352,8.334666016146121,3.8805383995952116,4.388194778138396,0.2637315846582313,1.5775763762075792,0.10223187603516233,0.42634966257019913,0.0003,14.81300000000192,True,outputs\checkpoints\distill-oldbest-128x8\gomoku10_student_epoch_0005.pt
6,raw,6,13352,8.271688706436294,3.8260082654284457,4.3831921755160455,0.24995327872598577,1.523046183400414,0.1210305574163125,0.40812182713940587,0.0003,17.8440000000046,True,outputs\checkpoints\distill-oldbest-128x8\gomoku10_student_epoch_0006.pt
7,raw,7,13352,8.191896212322401,3.7645611477298178,4.377434626248442,0.19960167558518907,1.461599166697553,0.15338526118865908,0.36781854046326756,0.0003,20.875,True,outputs\checkpoints\distill-oldbest-128x8\gomoku10_student_epoch_0007.pt
8,raw,8,13352,8.111879595030276,3.7006027018545344,4.3720760805439705,0.1568035513716161,1.3976407381072595,0.1837926907247237,0.307011703394215,0.0003,23.906000000002678,True,outputs\checkpoints\distill-oldbest-128x8\gomoku10_student_epoch_0008.pt
9,raw,9,13352,8.025720407178547,3.626412444374674,4.366218246050836,0.1323591185551764,1.323450442771843,0.21457459551263813,0.27831000050361315,0.0003,26.984000000004016,True,outputs\checkpoints\distill-oldbest-128x8\gomoku10_student_epoch_0009.pt
10,raw,10,13352,7.938733071178073,3.5490795186067357,4.360062942310606,0.11836214678740345,1.2461175510024796,0.2552426596863531,0.26230321382604865,0.0003,29.9690000000046,True,outputs\checkpoints\distill-oldbest-128x8\gomoku10_student_epoch_0010.pt
