iteration,loss,policy_loss,soft_policy_loss,value_loss,policy_kl,policy_top1,value_acc,value_mae,target_entropy,pred_entropy,selfplay_entropy,black_win_rate,white_win_rate,draw_rate,avg_moves,replay,lr,grad_norm,iter_seconds,total_seconds,evaluated,eval_score,promoted,checkpoint
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3655937159381117,0.640625,0.359375,0.0,15.515625,993,1.5e-05,0.0,146.0721861349998,146.07218623500012,False,1.0,True,alphazero_gomoku/outputs/checkpoints/v4-student-3080/gomoku10_iter_0001.pt
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3163313467886089,0.515625,0.484375,0.0,14.9375,1949,3e-05,0.0,155.13579862799997,301.20836196300024,False,1.0,True,alphazero_gomoku/outputs/checkpoints/v4-student-3080/gomoku10_iter_0002.pt
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4143579840049427,0.703125,0.296875,0.0,14.203125,2858,2.998986247714462e-05,0.0,138.54205407100017,439.75079243400023,False,1.0,True,alphazero_gomoku/outputs/checkpoints/v4-student-3080/gomoku10_iter_0003.pt
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3508303264822525,0.671875,0.328125,0.0,14.5625,3790,2.9959466351677628e-05,0.0,143.0426234280003,582.7937788620002,False,1.0,True,alphazero_gomoku/outputs/checkpoints/v4-student-3080/gomoku10_iter_0004.pt
5,8.965637493133546,2.287480321558573,3.0825957398901704,0.33201849162578584,0.9087867493270546,0.5489247311827957,0.8232421875,0.3717096269130707,1.3786935552794446,2.2940766756893485,1.4237372592717363,0.625,0.375,0.0,15.96875,4812,2.9908860926225674e-05,18.442142677307128,226.95169430899978,809.7458751710001,True,0.5,False,alphazero_gomoku/outputs/checkpoints/v4-student-3080/gomoku10_iter_0005.pt
6,8.61513868967692,2.1834288178394394,2.9929028178445374,0.3052010734875997,0.8387729387385582,0.5832957110609481,0.835693359375,0.3825291047493617,1.3446559146080275,2.2487767965476078,1.2358904768231767,0.734375,0.265625,0.0,16.34375,5858,2.983812828297391e-05,16.0233793258667,132.71705692500018,942.4633483960001,False,1.0,True,alphazero_gomoku/outputs/checkpoints/v4-student-3080/gomoku10_iter_0006.pt
7,8.399682930537633,2.110000557298389,2.926346233814703,0.3005244071994509,0.7818729336861002,0.5989623366641046,0.8377511160714286,0.3763304735933031,1.3281276839499654,2.1994459678996625,1.21099250705282,0.703125,0.296875,0.0,15.296875,6837,2.9747383150528345e-05,14.762797151293073,102.43003766499987,1044.8937839610003,False,1.0,True,alphazero_gomoku/outputs/checkpoints/v4-student-3080/gomoku10_iter_0007.pt
8,8.326284170150757,2.081815828819572,2.9198046534661084,0.28083110600709915,0.7427925406392525,0.6100259291270527,0.8487548828125,0.3640260938555002,1.3390233105591072,2.19182440494811,1.3590653798650585,0.59375,0.40625,0.0,15.875,7853,2.963677271782565e-05,14.708635747432709,110.82703659300023,1155.721212154,False,1.0,True,alphazero_gomoku/outputs/checkpoints/v4-student-3080/gomoku10_iter_0008.pt
9,8.173109902275932,2.0355345376564746,2.8799872572484055,0.26367756724357605,0.7050740645027189,0.6245245702114711,0.8571506076388888,0.343334577149815,1.3304604598599157,2.1636495409936063,1.1972881997159435,0.78125,0.21875,0.0,14.484375,8780,2.9506476395392155e-05,14.222704728444418,123.32639340200012,1279.0480180560003,False,1.0,True,alphazero_gomoku/outputs/checkpoints/v4-student-3080/gomoku10_iter_0009.pt
10,8.013448858261109,1.9803795618956979,2.834116617608281,0.254671074450016,0.665723379660258,0.6416942604856513,0.8638671875,0.3318354979157448,1.314656209110161,2.1121864267532398,1.2308679252993875,0.671875,0.328125,0.0,15.234375,9755,2.9356705524339317e-05,13.771406173706055,191.43837243100006,1470.486833387,True,0.5625,True,alphazero_gomoku/outputs/checkpoints/v4-student-3080/gomoku10_iter_0010.pt
11,7.995370908216997,1.9826349913696795,2.8329822137306926,0.24237880652601068,0.6616615895243181,0.639331814730448,0.8708718039772727,0.31541776115244086,1.3209733945211257,2.107036124932799,1.2600701791021642,0.609375,0.390625,0.0,14.046875,10654,2.918770303356769e-05,14.100018674677068,122.31050914200023,1592.7977515290004,False,1.0,True,alphazero_gomoku/outputs/checkpoints/v4-student-3080/gomoku10_iter_0011.pt
12,7.895859698454539,1.9529470158272424,2.8038688360627035,0.23597964830696583,0.6394426283483743,0.6457083525611444,0.8744303385416666,0.3070535622537136,1.3135043562118722,2.0853449529527683,1.2529979875063222,0.734375,0.265625,0.0,15.25,11630,2.8999743045735304e-05,14.01843504110972,134.54799672800027,1727.3461944570004,False,1.0,True,alphazero_gomoku/outputs/checkpoints/v4-student-3080/gomoku10_iter_0012.pt
13,7.901175627341638,1.9436355002456633,2.809805889439982,0.23858273602448976,0.629125634233199,0.6534873860504558,0.8740234375,0.3089262636808249,1.3145098725895723,2.0629152685675503,1.3723522435558135,0.75,0.25,0.0,15.765625,12639,2.8793130432629778e-05,14.307179414308989,146.61089711700015,1873.9576081740001,False,1.0,True,alphazero_gomoku/outputs/checkpoints/v4-student-3080/gomoku10_iter_0013.pt
14,7.9543978827340265,1.9576928096213444,2.832046237607277,0.23299605080059596,0.6283199423156384,0.6521739130434783,0.8772321428571429,0.3033530680196626,1.3293728684900596,2.07078936394101,1.4158345059854498,0.609375,0.390625,0.0,16.265625,13680,2.8568200320665124e-05,14.487452404839653,163.1222689160004,2037.08031739,False,1.0,True,alphazero_gomoku/outputs/checkpoints/v4-student-3080/gomoku10_iter_0014.pt
