iteration,loss,policy_loss,soft_policy_loss,value_loss,policy_kl,policy_top1,value_acc,value_mae,target_entropy,pred_entropy,selfplay_entropy,black_win_rate,white_win_rate,draw_rate,avg_moves,replay,lr,grad_norm,iter_seconds,total_seconds,evaluated,eval_score,promoted,checkpoint
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4332784598874202,0.5,0.5,0.0,14.7265625,3770,3.3333333333333335e-05,0.0,81.01529758000106,81.01529767998727,False,1.0,True,alphazero_gomoku/outputs/checkpoints/v5-tiny-3080/gomoku10_iter_0001.pt
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3998804639723745,0.65625,0.34375,0.0,15.01171875,7613,6.666666666666667e-05,0.0,75.88086156699865,156.89675544700003,False,1.0,True,alphazero_gomoku/outputs/checkpoints/v5-tiny-3080/gomoku10_iter_0002.pt
3,24.906378507614136,3.2667111251492122,3.5107441266472548,0.5727893312772115,1.731141748070077,0.362750944146293,0.716796875,0.5156835280358791,1.5355693478751102,2.587591640922237,1.4287540958753713,0.68359375,0.31640625,0.0,15.03515625,11462,0.0001,29.903412580490112,82.60334643200622,239.50266357899818,False,1.0,True,alphazero_gomoku/outputs/checkpoints/v5-tiny-3080/gomoku10_iter_0003.pt
4,23.71408316294352,3.000880128465029,3.376378522716942,0.4729979733626048,1.4286938741172726,0.42924298913924464,0.7308268229166667,0.5582833170890809,1.5721862791210273,2.7821871668539977,1.6800731306011798,0.59375,0.40625,0.0,13.828125,15002,9.998972383511386e-05,20.74033285776774,73.76360118799494,313.26684486700105,False,1.0,True,alphazero_gomoku/outputs/checkpoints/v5-tiny-3080/gomoku10_iter_0004.pt
5,22.685282760196262,2.8329709125007656,3.236692705624085,0.45991141845782596,1.2988160547566048,0.46470667931174636,0.7291666666666666,0.5698622216780981,1.5341548870902222,2.8011474825150113,1.2864689231050699,0.57421875,0.42578125,0.0,12.77734375,18273,9.995890003376942e-05,19.517245239681667,163.44935086400073,476.71923403099936,True,0.6666666666666666,True,alphazero_gomoku/outputs/checkpoints/v5-tiny-3080/gomoku10_iter_0005.pt
6,21.651985385201193,2.6937606523412296,3.09103579548933,0.4450128654187376,1.210720936765692,0.488470066518847,0.7371049360795454,0.5568458424373106,1.4830396902204352,2.7211919064796684,1.1064525077512068,0.640625,0.359375,0.0,13.0390625,21611,9.990754267376514e-05,19.504069848494098,73.88685680599883,550.6068028369918,False,1.0,True,alphazero_gomoku/outputs/checkpoints/v5-tiny-3080/gomoku10_iter_0006.pt
7,20.90383678436279,2.5889880128605687,2.987087808774209,0.4306698393821716,1.1470841716397684,0.5021970510692315,0.74392578125,0.5432487118244171,1.441903826926395,2.673277608503903,1.0310077248745992,0.61328125,0.38671875,0.0,13.2421875,25001,9.983567521095431e-05,19.6412100982666,72.97837696400529,623.5894019009866,False,1.0,True,alphazero_gomoku/outputs/checkpoints/v5-tiny-3080/gomoku10_iter_0007.pt
8,20.15538399560111,2.483329442963858,2.8817449770249297,0.42077241092920303,1.0889292229451546,0.5311369677953545,0.7507672991071429,0.5333057695201465,1.39440019254763,2.5871184337070035,0.9938350476917268,0.57421875,0.42578125,0.0,13.33203125,28414,9.974333046853242e-05,19.284860474722727,80.5037183460081,704.0936323469941,False,1.0,True,alphazero_gomoku/outputs/checkpoints/v5-tiny-3080/gomoku10_iter_0008.pt
9,19.467624233615012,2.384118566061607,2.784568485570221,0.4185308112252143,1.0269942314141018,0.5448438420742486,0.7510868195564516,0.5313617740907977,1.3571243518603806,2.495809595235039,0.980335480449993,0.6015625,0.3984375,0.0,12.3671875,31580,9.963055062204608e-05,18.524704194838,67.7361493549979,771.8363359020004,False,1.0,True,alphazero_gomoku/outputs/checkpoints/v5-tiny-3080/gomoku10_iter_0009.pt
10,18.779680906023298,2.2917053175610667,2.6874456795165784,0.4071521099124636,0.9767640235117108,0.5635324458074858,0.7576729910714286,0.5188499919005802,1.31494131772171,2.4044443395251287,0.8323988432007725,0.6953125,0.3046875,0.0,12.70703125,34833,9.949738718013078e-05,18.50288212639945,149.69195999699878,921.5288149989938,True,0.6666666666666666,True,alphazero_gomoku/outputs/checkpoints/v5-tiny-3080/gomoku10_iter_0010.pt
